tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	description	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
PI24H-21	PI24H	0.0	Metamorphic	Baked Contact	Schist			-48.0	0.0	0	90.0	-72	This study	SO-CMD-NORTH	g	i
PI24H-22	PI24H	0.0	Metamorphic	Baked Contact	Schist			-49.9	0.0	0	90.0	-83	This study	SO-CMD-NORTH	g	i
PI24H-23	PI24H	0.0	Metamorphic	Baked Contact	Schist			259.9	0.0	0	90.0	-53	This study	SO-CMD-NORTH	g	i
PI24H-24	PI24H	0.0	Metamorphic	Baked Contact	Schist			239.5	0.0	0	90.0	-47	This study	SO-CMD-NORTH	g	i
PI24H-25	PI24H	0.0	Metamorphic	Baked Contact	Schist			-65.9	0.0	0	90.0	-29	This study	SO-CMD-NORTH	g	i
PI24H-26	PI24H	0.0	Metamorphic	Baked Contact	Schist			-52.9	0.0	0	90.0	-41	This study	SO-CMD-NORTH	g	i
PI24H-27	PI24H	0.0	Metamorphic	Baked Contact	Schist			263.1	0.0	0	90.0	-37	This study	SO-CMD-NORTH	g	i
PI24H-28	PI24H	0.0	Metamorphic	Baked Contact	Schist			248.1	0.0	0	90.0	-41	This study	SO-CMD-NORTH	g	i
PI24H-29	PI24H	0.0	Metamorphic	Baked Contact	Schist			-69.9	0.0	0	90.0	-31	This study	SO-CMD-NORTH	g	i
PI24H-30	PI24H	0.0	Metamorphic	Baked Contact	Schist			166.1	0.0	0	90.0	-25	This study	SO-CMD-NORTH	g	i
PI24H-31	PI24H	0.0	Metamorphic	Baked Contact	Schist			26.1	0.0	0	90.0	-11	This study	SO-CMD-NORTH	g	i
PI24H-32	PI24H	0.0	Metamorphic	Baked Contact	Schist			41.1	0.0	0	90.0	-9	This study	SO-CMD-NORTH	g	i
PI22-1	PI22	0.0		Conglomerate	Breccia		Clast	-7.0	-6.0	0	84.0	-33	This study	SO-CMD-NORTH	g	i
PI22-2	PI22	0.0		Conglomerate	Breccia		Clast	244.0	-6.0	0	84.0	-25	This study	SO-CMD-NORTH	g	i
PI22-3	PI22	0.0		Conglomerate	Breccia		Clast	-43.0	-6.0	0	84.0	-50	This study	SO-CMD-NORTH	g	i
PI22-4	PI22	0.0		Conglomerate	Breccia		Clast	-43.0	-6.0	0	84.0	-36	This study	SO-CMD-NORTH	g	i
PI22-5	PI22	0.0		Conglomerate	Breccia		Clast	-91.0	-6.0	0	84.0	-28	This study	SO-CMD-NORTH	g	i
PI22-6	PI22	0.0		Conglomerate	Breccia		Clast	-68.0	-6.0	0	84.0	-28	This study	SO-CMD-NORTH	g	i
PI22-7	PI22	0.0		Conglomerate	Breccia		Clast	-39.0	-6.0	0	84.0	-48	This study	SO-CMD-NORTH	g	i
PI22-8	PI22	0.0		Conglomerate	Breccia		Clast	-49.0	-6.0	0	84.0	-46	This study	SO-CMD-NORTH	g	i
PI22-9	PI22	0.0		Conglomerate	Breccia		Clast	62.0	-6.0	0	84.0	-28	This study	SO-CMD-NORTH	g	i
PI22-10	PI22	0.0		Conglomerate	Breccia		Clast	145.0	-6.0	0	84.0	-26	This study	SO-CMD-NORTH	g	i
PI22-11	PI22	0.0		Conglomerate	Breccia		Clast	93.0	-6.0	0	84.0	-37	This study	SO-CMD-NORTH	g	i
PI22-12	PI22	0.0		Conglomerate	Breccia		Clast	129.0	-6.0	0	84.0	-30	This study	SO-CMD-NORTH	g	i
PI22-13	PI22	0.0		Conglomerate	Breccia		Clast	-45.0	-6.0	0	84.0	-22	This study	SO-CMD-NORTH	g	i
PI22-14	PI22	0.0		Conglomerate	Breccia		Clast	-96.0	-6.0	0	84.0	-47	This study	SO-CMD-NORTH	g	i
PI22-15	PI22	0.0		Conglomerate	Breccia		Clast	209.0	-6.0	0	84.0	-28	This study	SO-CMD-NORTH	g	i
PI47-1	PI47	0.0		Conglomerate	Breccia		Matrix	233.1	0.0	0	90.0	-16	This study	SO-CMD-NORTH	g	i
PI47-2	PI47	0.0		Conglomerate	Breccia		Matrix	251.1	0.0	0	90.0	-27	This study	SO-CMD-NORTH	g	i
PI47-3	PI47	0.0		Conglomerate	Breccia		Matrix	224.1	0.0	0	90.0	-13	This study	SO-CMD-NORTH	g	i
PI47-4	PI47	0.0		Conglomerate	Breccia		Matrix	113.1	0.0	0	90.0	-10	This study	SO-CMD-NORTH	g	i
PI47-5	PI47	0.0		Conglomerate	Breccia		Matrix	48.1	0.0	0	90.0	-16	This study	SO-CMD-NORTH	g	i
PI47-6	PI47	0.0		Conglomerate	Breccia		Matrix	60.1	0.0	0	90.0	-21	This study	SO-CMD-NORTH	g	i
PI47-7	PI47	0.0		Conglomerate	Breccia		Matrix	188.1	0.0	0	90.0	-47	This study	SO-CMD-NORTH	g	i
PI47-8	PI47	0.0		Conglomerate	Breccia		Matrix	198.1	0.0	0	90.0	-14	This study	SO-CMD-NORTH	g	i
