tab 	pmag_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_alpha95	specimen_comp_n	specimen_comp_name	specimen_correction	specimen_dang	specimen_dec	specimen_direction_type	specimen_flag	specimen_inc	specimen_mad	specimen_n	specimen_tilt_correction
	This study	unknown	PI22-7	PI22	PI22-7b	PI22-7b:LP-DIR-T	hargrave 2014-10-10 20:31:44	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	548	K		2	HT	u	1.0	143.1	l	g	10.0	5.7	15	-1
	This study	unknown	PI22-7	PI22	PI22-7b	PI22-7b:LP-DIR-T	hargrave 2014-10-10 20:31:44	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	373	298	K		2	LT	u	35.0	348.3	l	g	64.5	9.2	4	0
	This study	unknown	PI22-7	PI22	PI22-7b	PI22-7b:LP-DIR-T	hargrave 2014-10-10 20:31:44	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	548	K		2	HT	u	1.0	84.9	l	g	44.5	5.7	15	0
	This study	unknown	PI22-8	PI22	PI22-8b	PI22-8b:LP-DIR-T	hargrave 2014-10-10 20:33:12	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	398	298	K		2	LT	u	61.6	133.7	l	g	83.7	21.1	5	-1
	This study	unknown	PI22-8	PI22	PI22-8b	PI22-8b:LP-DIR-T	hargrave 2014-10-10 20:33:12	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	498	K		2	HT	u	9.6	153.2	l	g	15.0	4.9	18	-1
	This study	unknown	PI22-8	PI22	PI22-8b	PI22-8b:LP-DIR-T	hargrave 2014-10-10 20:33:12	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	398	298	K		2	LT	u	61.6	317.8	l	g	48.2	21.1	5	0
	This study	unknown	PI22-8	PI22	PI22-8b	PI22-8b:LP-DIR-T	hargrave 2014-10-10 20:33:12	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	498	K		2	HT	u	9.6	84.5	l	g	53.1	4.9	18	0
	This study	unknown	PI22-9	PI22	PI22-9b	PI22-9b:LP-DIR-T	hargrave 2014-10-10 20:34:44	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	448	298	K		2	LT	u	33.3	223.9	l	g	73.6	7.5	7	-1
	This study	unknown	PI22-9	PI22	PI22-9b	PI22-9b:LP-DIR-T	hargrave 2014-10-10 20:34:44	LP-DIR-T:DE-BFL:DA-DIR	pmagpy-3.4.0	853	523	K		2	HT	u	3.4	57.7	l	g	69.3	2.8	17	-1
	This study	unknown	PI22-9	PI22	PI22-9b	PI22-9b:LP-DIR-T	hargrave 2014-10-10 20:34:44	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	448	298	K		2	LT	u	33.3	26.1	l	g	70.5	7.5	7	0
	This study	unknown	PI22-9	PI22	PI22-9b	PI22-9b:LP-DIR-T	hargrave 2014-10-10 20:34:44	LP-DIR-T:DE-BFL:DA-DIR-GEO	pmagpy-3.4.0	853	523	K		2	HT	u	3.4	88.2	l	g	47.5	2.8	17	0
