tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_class	sample_declination_correction	sample_dip	sample_height	sample_lithology	sample_type
This study	unknown	PI2c-13	PI2c	SO-CMD-NORTH	-36.8	0.0	84.2		-5.8	-46.0	0		
This study	unknown	PI2c-14	PI2c	SO-CMD-NORTH	-19.8	0.0	84.2		-5.8	-43.0	0		
This study	unknown	PI2c-15	PI2c	SO-CMD-NORTH	197.2	0.0	84.2		-5.8	-22.0	0		
This study	unknown	PI2c-16	PI2c	SO-CMD-NORTH	230.2	0.0	84.2		-5.8	-20.0	0		
This study	unknown	PI2c-17	PI2c	SO-CMD-NORTH	258.2	0.0	84.2		-5.8	-20.0	0		
This study	unknown	PI2c-19	PI2c	SO-CMD-NORTH	107.2	0.0	84.2		-5.8	-30.0	0		
This study	unknown	PI2c-20	PI2c	SO-CMD-NORTH	246.2	0.0	84.2		-5.8	-21.0	0		
This study	unknown	PI2c-22	PI2c	SO-CMD-NORTH	170.2	0.0	84.2		-5.8	-16.0	0		
This study	unknown	PI2c-24	PI2c	SO-CMD-NORTH	71.2	0.0	84.2		-5.8	-42.0	0		
This study	unknown	PI2c-25	PI2c	SO-CMD-NORTH	104.2	0.0	84.2		-5.8	-25.0	0		
This study	unknown	PI2m-1	PI2m	SO-CMD-NORTH	232.2	0.0	84.2		-5.8	-16.0	0		
This study	unknown	PI2m-5	PI2m	SO-CMD-NORTH	49.2	0.0	84.2		-5.8	-22.0	0		
This study	unknown	PI2m-6	PI2m	SO-CMD-NORTH	65.2	0.0	84.2		-5.8	-15.0	0		
This study	unknown	PI2m-7	PI2m	SO-CMD-NORTH	-2.8	0.0	84.2		-5.8	-29.0	0		
This study	unknown	PI2m-8	PI2m	SO-CMD-NORTH	31.2	0.0	84.2		-5.8	-64.0	0		
This study	unknown	PI31-1	PI31	SO-CMD-NORTH	151.0	0.0	84.0		-6.0	-39.0	0		
This study	unknown	PI31-2	PI31	SO-CMD-NORTH	140.0	0.0	84.0		-6.0	-33.0	0		
This study	unknown	PI31-3	PI31	SO-CMD-NORTH	53.0	0.0	84.0		-6.0	-64.0	0		
This study	unknown	PI31-4	PI31	SO-CMD-NORTH	-31.0	0.0	84.0		-6.0	-36.0	0		
This study	unknown	PI31-5	PI31	SO-CMD-NORTH	-77.0	0.0	84.0		-6.0	-46.0	0		
This study	unknown	PI31-6	PI31	SO-CMD-NORTH	-21.0	0.0	84.0		-6.0	-42.0	0		
This study	unknown	PI31-8	PI31	SO-CMD-NORTH	178.0	0.0	84.0		-6.0	-34.0	0		
This study	unknown	PI31-9	PI31	SO-CMD-NORTH	239.0	0.0	84.0		-6.0	-11.0	0		
This study	unknown	PI31-10	PI31	SO-CMD-NORTH	135.0	0.0	84.0		-6.0	-74.0	0		
This study	unknown	PI31-12	PI31	SO-CMD-NORTH	-56.0	0.0	84.0		-6.0	-42.0	0		
This study	unknown	PI31-13	PI31	SO-CMD-NORTH	-69.0	0.0	84.0		-6.0	-36.0	0		
This study	unknown	PI31-14	PI31	SO-CMD-NORTH	-62.0	0.0	84.0		-6.0	-40.0	0		
This study	unknown	PI31-16	PI31	SO-CMD-NORTH	-19.0	0.0	84.0		-6.0	-15.0	0		
This study	unknown	PI31-17	PI31	SO-CMD-NORTH	84.0	0.0	84.0		-6.0	-52.0	0		
This study	unknown	PI31-18	PI31	SO-CMD-NORTH	52.0	0.0	84.0		-6.0	-46.0	0		
This study	unknown	PI31-19	PI31	SO-CMD-NORTH	-43.0	0.0	84.0		-6.0	-35.0	0		
This study	unknown	PI31-20	PI31	SO-CMD-NORTH	-38.0	0.0	84.0		-6.0	-29.0	0		
This study	Slate Islands	PI32-1	PI32	SO-CMD-NORTH	143.2	42.0	207.2		-5.8	-72.0	1.45		
This study	Slate Islands	PI32-2	PI32	SO-CMD-NORTH	151.2	42.0	207.2		-5.8	-94.0	1.4		
This study	Slate Islands	PI32-3	PI32	SO-CMD-NORTH	184.2	42.0	207.2		-5.8	-65.0	1.2		
This study	Slate Islands	PI32-4	PI32	SO-CMD-NORTH	129.2	42.0	207.2		-5.8	-94.0	1.4		
This study	Slate Islands	PI32-5	PI32	SO-CMD-NORTH	109.2	42.0	207.2		-5.8	-60.0	1.4		
This study	Slate Islands	PI32-6	PI32	SO-CMD-NORTH	168.2	42.0	207.2		-5.8	-70.0	1.3		
This study	Slate Islands	PI32-7	PI32	SO-CMD-NORTH	138.2	42.0	207.2		-5.8	-54.0	0.7		
This study	Slate Islands	PI32-8	PI32	SO-CMD-NORTH	139.2	42.0	207.2		-5.8	-51.0	0.65		
This study	Slate Islands	PI32-9	PI32	SO-CMD-NORTH	138.2	42.0	207.2		-5.8	-51.0	0.6		
This study	Slate Islands	PI33-1	PI33	SO-CMD-NORTH	160.2	42.0	207.2		-5.8	-62.0	3.4		
This study	Slate Islands	PI33-2	PI33	SO-CMD-NORTH	164.2	42.0	207.2		-5.8	-45.0	4.1		
This study	Slate Islands	PI33-3	PI33	SO-CMD-NORTH	148.2	42.0	207.2		-5.8	-57.0	3.3		
This study	Slate Islands	PI33-5	PI33	SO-CMD-NORTH	127.2	42.0	207.2		-5.8	-64.0	3.5		
This study	Slate Islands	PI33-6	PI33	SO-CMD-NORTH	117.2	42.0	207.2		-5.8	-36.0	3.6		
This study	Slate Islands	PI34-1	PI34	SO-CMD-NORTH	31.2	42.0	207.2		-5.8	-50.0	9.8		
This study	Slate Islands	PI34-2	PI34	SO-CMD-NORTH	159.2	42.0	207.2		-5.8	-62.0	10.5		
This study	Slate Islands	PI34-3	PI34	SO-CMD-NORTH	46.2	42.0	207.2		-5.8	-53.0	9.7		
This study	Slate Islands	PI34-4	PI34	SO-CMD-NORTH	46.2	42.0	207.2		-5.8	-47.0	9.7		
This study	Slate Islands	PI34-5	PI34	SO-CMD-NORTH	60.2	42.0	207.2		-5.8	-61.0	9.9		
This study	Slate Islands	PI34-6	PI34	SO-CMD-NORTH	63.2	42.0	207.2		-5.8	-50.0	10.7		
This study	Slate Islands	PI34-7	PI34	SO-CMD-NORTH	161.2	42.0	207.2		-5.8	-81.0	11.6		
This study	Slate Islands	PI34-8	PI34	SO-CMD-NORTH	64.2	42.0	207.2		-5.8	-32.0	13.3		
This study	unknown	PI44-1	PI44	SO-CMD-NORTH	110.1	0.0	84.1		-5.9	-43.0	0		
This study	unknown	PI44-2	PI44	SO-CMD-NORTH	119.1	0.0	84.1		-5.9	-44.0	0		
